symbol,date,type,price,shares,equity_before,equity_after
MITK,2025-06-05 04:00:00+00:00,buy,9.82,1018.0,10000.0,10000.0
MITK,2025-06-20 04:00:00+00:00,sell,9.465,1018.0,3.2399999999997817,9638.609999999999
MITK,2025-06-30 04:00:00+00:00,buy,9.9,973.0,9638.609999999999,9638.609999999999
MITK,2025-07-15 04:00:00+00:00,sell,9.35,973.0,5.9099999999980355,9103.459999999997
MITK,2025-08-11 04:00:00+00:00,buy,9.725,936.0,9103.459999999997,9103.459999999997
MITK,2025-09-04 04:00:00+00:00,sell,9.64,936.0,0.8599999999969441,9023.899999999998
MITK,2025-09-12 04:00:00+00:00,buy,10.26,879.0,9023.899999999998,9023.899999999998
MITK,2025-09-18 04:00:00+00:00,sell,10.35,879.0,5.359999999998763,9103.009999999998
MITK,2025-09-22 04:00:00+00:00,buy,10.275,885.0,9103.009999999998,9103.009999999998
MITK,2025-09-30 04:00:00+00:00,sell,9.78,885.0,9.6349999999984,8664.934999999998
MITK,2025-10-24 04:00:00+00:00,buy,9.66,896.0,8664.934999999998,8664.934999999998
MITK,2025-11-03 05:00:00+00:00,sell,9.135,896.0,9.57499999999618,8194.534999999996
MITK,2025-12-04 05:00:00+00:00,buy,9.28,883.0,8194.534999999996,8194.534999999996
MITK,2026-01-15 05:00:00+00:00,sell,10.09,883.0,0.2949999999964348,8909.764999999996
MITK,2026-01-27 05:00:00+00:00,buy,10.695,833.0,8909.764999999996,8909.764999999996
MITK,2026-02-02 05:00:00+00:00,sell,10.31,833.0,0.8299999999962893,8589.059999999996
MITK,2026-02-09 05:00:00+00:00,buy,11.8,727.0,8589.059999999996,8589.059999999996
MITK,2026-03-18 04:00:00+00:00,sell,14.29,727.0,10.459999999995489,10399.289999999995
MITK,2026-04-14 04:00:00+00:00,buy,14.505,716.0,10399.289999999995,10399.289999999995
WSHP,2026-04-16 04:00:00+00:00,buy,14.56,686.0,10000.0,10000.0
CUK,2025-06-23 04:00:00+00:00,buy,21.6,462.0,10000.0,10000.0
CUK,2025-08-06 04:00:00+00:00,sell,26.78,462.0,20.799999999999272,12393.16
CUK,2025-08-14 04:00:00+00:00,buy,27.76,446.0,12393.16,12393.16
CUK,2025-09-17 04:00:00+00:00,sell,28.23,446.0,12.199999999998909,12602.779999999999
CUK,2025-10-23 04:00:00+00:00,buy,26.635,473.0,12602.779999999999,12602.779999999999
CUK,2025-10-29 04:00:00+00:00,sell,25.29,473.0,4.424999999997453,11966.594999999998
CUK,2025-12-04 05:00:00+00:00,buy,23.745,503.0,11966.594999999998,11966.594999999998
CUK,2026-01-16 05:00:00+00:00,sell,28.68,503.0,22.859999999996944,14448.899999999996
CUK,2026-02-02 05:00:00+00:00,buy,32.15,449.0,14448.899999999996,14448.899999999996
CUK,2026-02-24 05:00:00+00:00,sell,31.47,449.0,13.549999999997453,14143.579999999996
CUK,2026-04-02 04:00:00+00:00,buy,25.59,552.0,14143.579999999996,14143.579999999996
MNRO,2025-05-28 04:00:00+00:00,buy,16.77,596.0,10000.0,10000.0
MNRO,2025-06-17 04:00:00+00:00,sell,14.37,596.0,5.079999999999927,8569.6
MNRO,2025-07-03 04:00:00+00:00,buy,16.625,515.0,8569.6,8569.6
MNRO,2025-07-18 04:00:00+00:00,sell,14.45,515.0,7.725000000000364,7449.475
MNRO,2025-07-23 04:00:00+00:00,buy,16.64,447.0,7449.475,7449.475
MNRO,2025-07-31 04:00:00+00:00,sell,14.115,447.0,11.395000000000437,6320.8
MNRO,2025-08-11 04:00:00+00:00,buy,15.29,413.0,6320.8,6320.8
MNRO,2025-10-08 04:00:00+00:00,sell,17.29,413.0,6.030000000000655,7146.8
MNRO,2025-10-22 04:00:00+00:00,buy,18.32,390.0,7146.8,7146.8
MNRO,2025-10-29 04:00:00+00:00,sell,15.205,390.0,2.0,5931.95
MNRO,2025-11-10 05:00:00+00:00,buy,17.86,332.0,5931.95,5931.95
MNRO,2026-01-02 05:00:00+00:00,sell,19.7,332.0,2.430000000000291,6542.83
MNRO,2026-01-14 05:00:00+00:00,buy,20.765,315.0,6542.83,6542.83
MNRO,2026-01-28 05:00:00+00:00,sell,20.04,315.0,1.8549999999995634,6314.454999999999
MNRO,2026-02-10 05:00:00+00:00,buy,21.32,296.0,6314.454999999999,6314.454999999999
MNRO,2026-03-03 05:00:00+00:00,sell,20.04,296.0,3.734999999998763,5935.574999999999
MNRO,2026-04-06 04:00:00+00:00,buy,15.51,382.0,5935.574999999999,5935.574999999999
CCL,2025-06-23 04:00:00+00:00,buy,24.05,415.0,10000.0,10000.0
CCL,2025-08-06 04:00:00+00:00,sell,29.25,415.0,19.25,12158.0
